Date,Client ID,Client Age,Client Gender,Service Type,Service Price CAD,Employee ID,Service Duration Minutes,Payment Method,Customer Booking Type,Customer Satisfaction Rating
3/23/2023,C42,21,Female,Acrylic Nails,CAD 114.40,E1,97,Debit Card,Walk-in,4
5/3/2023,C43,44,Male,Foot Massage,CAD 134.18,E15,30,Credit Card,Walk-in,5
3/15/2023,C44,24,Female,Gel Nails,CAD 99.50,E9,57,Mobile Payment,Walk-in,4
10/29/2023,C45,45,Female,Manicure,CAD 88.62,E12,72,Debit Card,Pre-booked,3
9/14/2023,C46,55,Male,Gel Nails,CAD 74.82,E2,86,Mobile Payment,Pre-booked,5
9/18/2023,C47,24,Male,Acrylic Nails,CAD 136.74,E7,101,Cash,Pre-booked,2
3/26/2023,C48,50,Male,Gel Nails,CAD 131.39,E1,36,Debit Card,Walk-in,1
10/17/2023,C49,50,Male,Gel Nails,CAD 98.04,E11,88,Debit Card,Pre-booked,5
10/4/2023,C50,56,Male,Acrylic Nails,CAD 127.63,E5,64,Cash,Walk-in,4
12/11/2023,C51,50,Male,Acrylic Nails,CAD 87.10,E5,56,Credit Card,Pre-booked,5
5/5/2023,C52,63,Male,Gel Nails,CAD 109.21,E3,116,Mobile Payment,Walk-in,4
7/20/2023,C53,31,Male,Acrylic Nails,CAD 126.48,E5,34,Debit Card,Pre-booked,4
3/16/2023,C54,53,Male,Acrylic Nails,CAD 72.94,E13,96,Credit Card,Pre-booked,3
7/16/2023,C55,60,Male,Pedicure,CAD 135.13,E3,66,Credit Card,Walk-in,1
2/25/2023,C56,34,Female,Gel Nails,CAD 123.14,E1,47,Credit Card,Walk-in,5
7/29/2023,C57,63,Male,Nail Art,CAD 137.97,E5,61,Credit Card,Pre-booked,1
6/11/2023,C58,44,Female,Acrylic Nails,CAD 47.48,E12,34,Credit Card,Walk-in,5
12/9/2023,C59,53,Female,Nail Art,CAD 80.07,E1,115,Cash,Pre-booked,1
4/11/2023,C60,62,Male,Foot Massage,CAD 120.84,E11,115,Mobile Payment,Pre-booked,4
10/12/2023,C61,40,Male,Pedicure,CAD 129.38,E15,67,Credit Card,Walk-in,1
3/4/2023,C62,48,Male,Nail Art,CAD 127.11,E9,86,Mobile Payment,Walk-in,4
5/14/2023,C63,28,Female,Nail Art,CAD 33.88,E3,73,Cash,Walk-in,1
12/8/2023,C64,23,Female,Foot Massage,CAD 102.59,E5,57,Debit Card,Walk-in,4
11/7/2023,C65,35,Female,Nail Art,CAD 112.40,E2,58,Debit Card,Pre-booked,1
12/24/2023,C66,41,Male,Acrylic Nails,CAD 118.92,E1,90,Mobile Payment,Walk-in,3
9/15/2023,C67,32,Male,Gel Nails,CAD 111.28,E13,51,Credit Card,Pre-booked,2
5/8/2023,C68,19,Female,Nail Art,CAD 132.19,E2,78,Debit Card,Pre-booked,5
11/21/2023,C69,48,Male,Foot Massage,CAD 39.86,E11,61,Credit Card,Walk-in,1
12/27/2023,C70,62,Female,Gel Nails,CAD 119.11,E15,54,Mobile Payment,Walk-in,3
8/30/2023,C71,57,Female,Manicure,CAD 79.02,E4,44,Credit Card,Pre-booked,4
7/12/2023,C72,37,Female,Pedicure,CAD 77.26,E12,81,Cash,Pre-booked,5
7/6/2023,C73,49,Male,Nail Art,CAD 117.27,E6,48,Credit Card,Pre-booked,5
10/14/2023,C74,42,Female,Acrylic Nails,CAD 64.34,E5,32,Cash,Walk-in,3
9/19/2023,C75,48,Male,Pedicure,CAD 107.50,E8,68,Credit Card,Pre-booked,3
7/14/2023,C76,60,Male,Manicure,CAD 40.25,E4,82,Credit Card,Walk-in,3
3/20/2023,C77,58,Male,Foot Massage,CAD 90.90,E3,50,Mobile Payment,Pre-booked,3
11/13/2023,C78,60,Female,Foot Massage,CAD 84.01,E2,44,Mobile Payment,Pre-booked,2
2/3/2023,C79,20,Female,Foot Massage,CAD 22.15,E5,96,Debit Card,Walk-in,5
5/6/2023,C80,27,Female,Acrylic Nails,CAD 119.97,E3,111,Cash,Pre-booked,4
8/4/2023,C81,64,Female,Gel Nails,CAD 71.99,E6,66,Mobile Payment,Walk-in,5
8/5/2023,C82,45,Male,Gel Nails,CAD 78.16,E2,68,Cash,Pre-booked,3
1/26/2023,C83,47,Female,Pedicure,CAD 42.91,E12,92,Mobile Payment,Pre-booked,5
1/9/2023,C84,59,Female,Manicure,CAD 62.29,E13,66,Mobile Payment,Pre-booked,5
11/20/2023,C85,36,Female,Nail Art,CAD 51.38,E14,69,Credit Card,Walk-in,3
1/29/2023,C86,41,Female,Foot Massage,CAD 92.47,E15,67,Mobile Payment,Pre-booked,3
10/3/2023,C87,60,Male,Nail Art,CAD 29.43,E15,116,Credit Card,Walk-in,2
1/18/2023,C88,29,Male,Acrylic Nails,CAD 99.68,E11,38,Cash,Pre-booked,4
12/2/2023,C89,50,Male,Manicure,CAD 28.45,E4,86,Cash,Pre-booked,2
1/21/2023,C90,36,Male,Nail Art,CAD 126.32,E13,79,Credit Card,Pre-booked,4
1/11/2023,C91,54,Male,Pedicure,CAD 33.93,E9,117,Mobile Payment,Pre-booked,2
11/2/2023,C92,50,Male,Pedicure,CAD 117.25,E13,66,Mobile Payment,Walk-in,1
9/25/2023,C93,20,Male,Pedicure,CAD 28.71,E9,101,Cash,Walk-in,5
7/29/2023,C94,31,Male,Manicure,CAD 83.91,E2,57,Debit Card,Walk-in,1
7/12/2023,C95,40,Male,Manicure,CAD 63.76,E1,71,Cash,Pre-booked,2
10/31/2023,C96,60,Male,Nail Art,CAD 113.78,E10,74,Credit Card,Pre-booked,4
1/19/2023,C97,41,Male,Gel Nails,CAD 22.74,E14,75,Credit Card,Walk-in,3
9/3/2023,C98,26,Male,Gel Nails,CAD 70.01,E3,81,Mobile Payment,Walk-in,3
2/21/2023,C99,49,Female,Gel Nails,CAD 72.39,E6,80,Credit Card,Walk-in,3
9/1/2023,C100,35,Female,Manicure,CAD 41.60,E6,48,Cash,Walk-in,5
10/14/2023,C101,60,Male,Nail Art,CAD 71.11,E1,84,Credit Card,Pre-booked,4
8/18/2023,C102,50,Female,Nail Art,CAD 116.45,E2,74,Cash,Walk-in,2
1/19/2023,C103,31,Female,Foot Massage,CAD 76.61,E14,84,Mobile Payment,Pre-booked,2
4/23/2023,C104,23,Female,Acrylic Nails,CAD 129.30,E7,90,Debit Card,Pre-booked,3
10/24/2023,C105,35,Female,Foot Massage,CAD 148.02,E6,108,Mobile Payment,Walk-in,4
6/29/2023,C106,34,Female,Acrylic Nails,CAD 55.39,E15,81,Mobile Payment,Pre-booked,2
5/29/2023,C107,60,Female,Gel Nails,CAD 27.41,E1,73,Cash,Pre-booked,4
9/1/2023,C108,55,Male,Nail Art,CAD 72.38,E14,44,Mobile Payment,Pre-booked,4
2/7/2023,C109,55,Female,Gel Nails,CAD 54.59,E2,50,Mobile Payment,Walk-in,3
4/12/2023,C110,51,Male,Gel Nails,CAD 74.57,E13,54,Mobile Payment,Walk-in,3
9/29/2023,C111,31,Female,Gel Nails,CAD 29.04,E15,30,Mobile Payment,Walk-in,3
5/23/2023,C112,53,Female,Pedicure,CAD 108.77,E13,39,Cash,Walk-in,2
5/14/2023,C113,46,Female,Manicure,CAD 62.49,E3,73,Debit Card,Pre-booked,2
7/4/2023,C114,28,Male,Pedicure,CAD 71.15,E13,108,Cash,Walk-in,3
12/26/2023,C115,52,Male,Gel Nails,CAD 145.95,E10,54,Credit Card,Pre-booked,2
1/20/2023,C116,63,Male,Foot Massage,CAD 26.13,E1,112,Mobile Payment,Walk-in,1
6/30/2023,C117,39,Male,Gel Nails,CAD 32.34,E3,75,Credit Card,Pre-booked,2
6/26/2023,C118,59,Female,Acrylic Nails,CAD 116.36,E4,108,Debit Card,Walk-in,1
5/19/2023,C119,36,Female,Acrylic Nails,CAD 39.83,E2,70,Mobile Payment,Pre-booked,3
1/20/2023,C120,57,Male,Pedicure,CAD 147.48,E12,70,Cash,Pre-booked,3
7/9/2023,C121,48,Female,Gel Nails,CAD 63.56,E3,73,Mobile Payment,Walk-in,1
3/3/2023,C122,48,Male,Foot Massage,CAD 127.54,E14,90,Debit Card,Walk-in,1
12/10/2023,C123,24,Female,Gel Nails,CAD 102.43,E10,31,Cash,Walk-in,1
5/12/2023,C124,53,Male,Acrylic Nails,CAD 64.80,E13,38,Cash,Pre-booked,1
9/18/2023,C125,61,Female,Nail Art,CAD 104.47,E1,36,Debit Card,Pre-booked,3
3/21/2023,C126,61,Female,Acrylic Nails,CAD 92.69,E3,120,Credit Card,Pre-booked,2
9/15/2023,C127,62,Male,Manicure,CAD 41.23,E2,117,Debit Card,Pre-booked,5
6/12/2023,C128,57,Female,Foot Massage,CAD 53.02,E6,102,Mobile Payment,Pre-booked,1
7/7/2023,C129,63,Female,Gel Nails,CAD 94.70,E13,114,Debit Card,Pre-booked,1
6/10/2023,C130,25,Female,Gel Nails,CAD 39.71,E1,49,Mobile Payment,Walk-in,1
5/18/2023,C131,30,Male,Acrylic Nails,CAD 63.88,E8,75,Cash,Pre-booked,4
11/15/2023,C132,29,Male,Manicure,CAD 130.38,E9,30,Debit Card,Walk-in,3
8/28/2023,C133,32,Male,Acrylic Nails,CAD 141.32,E9,63,Debit Card,Walk-in,1
12/15/2023,C134,22,Male,Acrylic Nails,CAD 36.18,E8,112,Debit Card,Pre-booked,5
4/1/2023,C135,53,Male,Manicure,CAD 143.84,E12,100,Credit Card,Walk-in,3
8/26/2023,C136,35,Female,Nail Art,CAD 51.02,E13,93,Cash,Walk-in,4
12/5/2023,C137,50,Female,Pedicure,CAD 71.13,E2,80,Mobile Payment,Pre-booked,5
4/11/2023,C138,54,Male,Pedicure,CAD 45.48,E9,62,Cash,Walk-in,5
5/1/2023,C139,60,Female,Foot Massage,CAD 53.82,E15,53,Credit Card,Walk-in,5
4/18/2023,C140,29,Male,Pedicure,CAD 148.12,E2,100,Credit Card,Walk-in,5
12/14/2023,C141,60,Female,Manicure,CAD 113.80,E10,72,Debit Card,Walk-in,3
3/29/2023,C142,39,Female,Gel Nails,CAD 73.59,E2,32,Debit Card,Pre-booked,5
12/17/2023,C143,65,Male,Foot Massage,CAD 55.09,E14,103,Debit Card,Pre-booked,1
6/6/2023,C144,22,Male,Nail Art,CAD 66.64,E2,115,Credit Card,Walk-in,5
6/19/2023,C145,23,Female,Acrylic Nails,CAD 128.83,E2,100,Credit Card,Walk-in,3
9/15/2023,C146,38,Male,Foot Massage,CAD 28.83,E7,46,Debit Card,Walk-in,3
5/10/2023,C147,42,Male,Gel Nails,CAD 63.07,E13,78,Cash,Pre-booked,2
3/21/2023,C148,45,Female,Nail Art,CAD 98.95,E15,107,Credit Card,Pre-booked,3
1/3/2023,C149,55,Male,Nail Art,CAD 44.03,E4,100,Credit Card,Walk-in,4
6/22/2023,C150,63,Male,Pedicure,CAD 58.65,E5,52,Mobile Payment,Walk-in,5
1/16/2023,C151,30,Female,Gel Nails,CAD 141.82,E7,76,Credit Card,Pre-booked,1
9/13/2023,C152,40,Female,Gel Nails,CAD 127.44,E4,105,Credit Card,Walk-in,1
8/8/2023,C153,30,Female,Gel Nails,CAD 72.32,E3,51,Credit Card,Pre-booked,1
1/19/2023,C154,42,Female,Manicure,CAD 57.96,E11,56,Cash,Walk-in,2
8/21/2023,C155,47,Female,Nail Art,CAD 92.10,E6,55,Debit Card,Pre-booked,4
6/25/2023,C156,35,Female,Nail Art,CAD 105.88,E7,105,Cash,Pre-booked,1
4/21/2023,C157,24,Female,Foot Massage,CAD 68.62,E15,83,Cash,Walk-in,1
9/12/2023,C158,42,Male,Acrylic Nails,CAD 39.21,E9,75,Debit Card,Pre-booked,1
7/12/2023,C159,25,Male,Pedicure,CAD 109.52,E13,31,Debit Card,Pre-booked,1
7/29/2023,C160,47,Female,Pedicure,CAD 143.29,E11,64,Credit Card,Walk-in,3
7/28/2023,C161,33,Male,Acrylic Nails,CAD 147.98,E6,112,Mobile Payment,Pre-booked,2
10/29/2023,C162,30,Male,Acrylic Nails,CAD 32.19,E6,73,Debit Card,Pre-booked,3
6/27/2023,C163,59,Female,Foot Massage,CAD 45.62,E4,104,Debit Card,Walk-in,1
1/25/2023,C164,49,Male,Gel Nails,CAD 61.19,E12,102,Credit Card,Walk-in,1
4/21/2023,C165,53,Female,Manicure,CAD 92.82,E11,47,Cash,Pre-booked,2
3/13/2023,C166,34,Female,Gel Nails,CAD 121.14,E13,99,Credit Card,Walk-in,4
4/10/2023,C167,60,Female,Manicure,CAD 30.77,E3,67,Mobile Payment,Walk-in,3
11/6/2023,C168,34,Male,Foot Massage,CAD 62.66,E13,115,Debit Card,Walk-in,1
2/12/2023,C169,44,Male,Nail Art,CAD 59.50,E11,104,Cash,Walk-in,5
2/21/2023,C170,36,Male,Pedicure,CAD 100.19,E3,119,Cash,Pre-booked,1
8/24/2023,C171,18,Female,Nail Art,CAD 81.45,E14,99,Mobile Payment,Walk-in,5
8/26/2023,C172,60,Female,Manicure,CAD 120.02,E5,104,Debit Card,Pre-booked,4
5/30/2023,C173,50,Female,Acrylic Nails,CAD 33.60,E4,99,Debit Card,Pre-booked,3
6/2/2023,C174,22,Male,Nail Art,CAD 81.28,E5,84,Mobile Payment,Pre-booked,4
3/6/2023,C175,20,Male,Nail Art,CAD 83.65,E12,93,Credit Card,Walk-in,5
12/11/2023,C176,29,Male,Manicure,CAD 96.07,E12,92,Cash,Pre-booked,2
11/18/2023,C177,47,Female,Gel Nails,CAD 142.18,E13,39,Mobile Payment,Pre-booked,4
12/7/2023,C178,33,Female,Gel Nails,CAD 84.75,E1,68,Mobile Payment,Pre-booked,4
10/29/2023,C179,59,Female,Pedicure,CAD 145.31,E15,66,Debit Card,Walk-in,4
7/10/2023,C180,20,Female,Pedicure,CAD 128.74,E15,31,Credit Card,Walk-in,3
5/4/2023,C181,60,Female,Manicure,CAD 113.83,E2,47,Debit Card,Pre-booked,2
6/20/2023,C182,31,Female,Gel Nails,CAD 65.55,E9,102,Mobile Payment,Walk-in,5
6/16/2023,C183,59,Female,Acrylic Nails,CAD 103.95,E12,93,Debit Card,Pre-booked,4
8/8/2023,C184,19,Male,Foot Massage,CAD 139.96,E5,80,Mobile Payment,Walk-in,2
6/19/2023,C185,45,Female,Acrylic Nails,CAD 58.98,E11,54,Debit Card,Walk-in,1
10/17/2023,C186,26,Female,Nail Art,CAD 112.35,E12,64,Credit Card,Pre-booked,5
8/5/2023,C187,51,Male,Manicure,CAD 47.32,E9,112,Mobile Payment,Pre-booked,2
11/20/2023,C188,60,Female,Acrylic Nails,CAD 43.85,E15,118,Credit Card,Walk-in,5
12/8/2023,C189,21,Male,Gel Nails,CAD 112.00,E12,38,Cash,Pre-booked,2
5/14/2023,C190,32,Male,Foot Massage,CAD 110.85,E6,83,Mobile Payment,Pre-booked,2
5/2/2023,C191,23,Female,Acrylic Nails,CAD 81.74,E8,45,Cash,Walk-in,5
7/7/2023,C192,32,Male,Acrylic Nails,CAD 145.46,E6,34,Mobile Payment,Walk-in,5
3/15/2023,C193,23,Female,Foot Massage,CAD 111.98,E8,115,Credit Card,Pre-booked,2
9/29/2023,C194,24,Male,Foot Massage,CAD 106.64,E15,110,Debit Card,Walk-in,4
6/13/2023,C195,63,Female,Gel Nails,CAD 68.99,E15,96,Mobile Payment,Walk-in,3
12/27/2023,C196,58,Male,Gel Nails,CAD 123.22,E6,103,Credit Card,Walk-in,5
3/26/2023,C197,25,Male,Gel Nails,CAD 147.23,E11,39,Cash,Walk-in,1
8/3/2023,C198,62,Female,Gel Nails,CAD 106.59,E13,85,Cash,Pre-booked,4
12/23/2023,C199,53,Female,Nail Art,CAD 122.05,E7,47,Cash,Pre-booked,3
10/17/2023,C200,57,Male,Manicure,CAD 26.12,E13,109,Debit Card,Walk-in,5
1/24/2023,C201,59,Female,Pedicure,CAD 126.89,E2,61,Cash,Walk-in,3
1/13/2023,C202,33,Male,Gel Nails,CAD 127.76,E13,93,Mobile Payment,Walk-in,3
10/2/2023,C203,44,Male,Foot Massage,CAD 45.27,E1,74,Credit Card,Pre-booked,3
6/24/2023,C204,43,Female,Foot Massage,CAD 54.55,E1,99,Debit Card,Walk-in,5
1/12/2023,C205,41,Female,Pedicure,CAD 132.19,E9,112,Debit Card,Walk-in,4
12/3/2023,C206,41,Female,Nail Art,CAD 41.98,E5,111,Cash,Pre-booked,1
9/19/2023,C207,27,Male,Manicure,CAD 129.03,E2,63,Credit Card,Pre-booked,3
10/13/2023,C208,27,Female,Gel Nails,CAD 38.42,E15,41,Mobile Payment,Pre-booked,4
12/15/2023,C209,22,Male,Pedicure,CAD 61.35,E15,69,Cash,Walk-in,2
1/23/2023,C210,28,Male,Manicure,CAD 21.34,E9,79,Mobile Payment,Pre-booked,4
10/13/2023,C211,24,Female,Manicure,CAD 74.79,E8,118,Mobile Payment,Pre-booked,3
6/13/2023,C212,58,Male,Nail Art,CAD 103.86,E11,34,Credit Card,Pre-booked,3
2/28/2023,C213,30,Female,Acrylic Nails,CAD 28.07,E3,33,Credit Card,Walk-in,2
5/16/2023,C214,55,Male,Foot Massage,CAD 123.96,E12,42,Credit Card,Pre-booked,3
10/31/2023,C215,36,Female,Manicure,CAD 86.12,E6,112,Credit Card,Pre-booked,5
7/11/2023,C216,42,Male,Foot Massage,CAD 111.96,E9,51,Mobile Payment,Pre-booked,4
7/18/2023,C217,34,Male,Pedicure,CAD 66.86,E5,114,Mobile Payment,Walk-in,1
4/23/2023,C218,25,Male,Foot Massage,CAD 73.09,E15,51,Credit Card,Walk-in,5
3/13/2023,C219,18,Female,Acrylic Nails,CAD 120.72,E6,97,Mobile Payment,Pre-booked,4
4/18/2023,C220,58,Male,Foot Massage,CAD 82.99,E11,33,Cash,Pre-booked,3
5/22/2023,C221,36,Male,Manicure,CAD 119.07,E4,72,Debit Card,Pre-booked,4
2/9/2023,C222,31,Male,Nail Art,CAD 117.60,E7,33,Cash,Pre-booked,5
4/12/2023,C223,45,Male,Foot Massage,CAD 79.92,E8,110,Debit Card,Walk-in,5
12/22/2023,C224,28,Female,Foot Massage,CAD 148.52,E6,55,Debit Card,Walk-in,3
11/22/2023,C225,44,Female,Manicure,CAD 121.66,E2,38,Debit Card,Walk-in,5
1/13/2023,C226,42,Female,Acrylic Nails,CAD 45.64,E13,114,Debit Card,Walk-in,3
3/1/2023,C227,30,Male,Foot Massage,CAD 100.24,E12,118,Debit Card,Pre-booked,3
8/19/2023,C228,41,Female,Manicure,CAD 29.60,E8,89,Credit Card,Walk-in,3
6/3/2023,C229,24,Male,Acrylic Nails,CAD 60.80,E7,30,Credit Card,Walk-in,5
11/15/2023,C230,29,Male,Acrylic Nails,CAD 46.67,E12,41,Debit Card,Walk-in,2
6/10/2023,C231,31,Female,Pedicure,CAD 110.13,E2,56,Debit Card,Pre-booked,4
9/29/2023,C232,57,Male,Manicure,CAD 84.90,E15,116,Mobile Payment,Pre-booked,2
7/8/2023,C233,56,Female,Acrylic Nails,CAD 85.39,E13,106,Mobile Payment,Pre-booked,3
3/26/2023,C234,53,Male,Nail Art,CAD 64.73,E3,63,Debit Card,Pre-booked,3
11/5/2023,C235,54,Female,Foot Massage,CAD 32.05,E14,63,Cash,Walk-in,1
12/22/2023,C236,29,Male,Gel Nails,CAD 53.60,E12,82,Cash,Pre-booked,5
4/1/2023,C237,26,Male,Manicure,CAD 43.01,E4,100,Debit Card,Walk-in,1
6/29/2023,C238,48,Female,Foot Massage,CAD 58.46,E6,37,Cash,Walk-in,3
1/2/2023,C239,61,Female,Nail Art,CAD 115.69,E15,62,Credit Card,Pre-booked,2
1/15/2023,C240,53,Female,Foot Massage,CAD 95.00,E12,57,Debit Card,Walk-in,1
12/13/2023,C241,40,Male,Foot Massage,CAD 106.59,E6,74,Mobile Payment,Walk-in,3
10/4/2023,C242,26,Female,Gel Nails,CAD 123.73,E10,68,Debit Card,Pre-booked,5
4/14/2023,C243,52,Female,Manicure,CAD 141.06,E15,41,Credit Card,Walk-in,4
7/27/2023,C244,41,Male,Acrylic Nails,CAD 88.43,E2,60,Cash,Pre-booked,4
3/17/2023,C245,27,Female,Manicure,CAD 111.84,E12,74,Cash,Pre-booked,4
9/23/2023,C246,18,Female,Manicure,CAD 72.75,E4,52,Debit Card,Pre-booked,2
7/20/2023,C247,40,Male,Manicure,CAD 97.39,E13,51,Cash,Pre-booked,3
7/23/2023,C248,40,Female,Gel Nails,CAD 20.80,E1,105,Debit Card,Pre-booked,1
2/13/2023,C249,23,Male,Foot Massage,CAD 149.85,E15,103,Debit Card,Walk-in,5
9/12/2023,C250,44,Male,Pedicure,CAD 49.95,E11,95,Debit Card,Pre-booked,4
5/3/2023,C251,18,Female,Acrylic Nails,CAD 119.14,E12,88,Mobile Payment,Pre-booked,1
5/9/2023,C252,35,Female,Nail Art,CAD 148.27,E5,93,Mobile Payment,Pre-booked,2
5/24/2023,C253,58,Female,Pedicure,CAD 51.40,E5,52,Debit Card,Pre-booked,3
1/1/2023,C254,24,Female,Manicure,CAD 146.36,E13,72,Credit Card,Pre-booked,1
9/14/2023,C255,24,Female,Foot Massage,CAD 104.25,E2,118,Credit Card,Pre-booked,4
10/15/2023,C256,63,Female,Manicure,CAD 124.38,E10,115,Mobile Payment,Walk-in,4
1/27/2023,C257,30,Male,Pedicure,CAD 23.07,E10,89,Credit Card,Pre-booked,4
3/4/2023,C258,56,Female,Pedicure,CAD 118.76,E10,35,Debit Card,Walk-in,2
10/2/2023,C259,65,Male,Nail Art,CAD 116.66,E4,31,Credit Card,Pre-booked,2
7/6/2023,C260,43,Female,Manicure,CAD 81.27,E8,111,Mobile Payment,Walk-in,1
3/4/2023,C261,31,Male,Gel Nails,CAD 103.15,E1,79,Mobile Payment,Pre-booked,4
9/24/2023,C262,25,Female,Acrylic Nails,CAD 75.14,E1,98,Mobile Payment,Pre-booked,2
7/19/2023,C263,62,Male,Pedicure,CAD 137.11,E15,66,Credit Card,Walk-in,3
10/5/2023,C264,54,Female,Manicure,CAD 95.53,E11,72,Debit Card,Walk-in,2
11/27/2023,C265,19,Female,Gel Nails,CAD 94.03,E11,36,Credit Card,Pre-booked,1
5/14/2023,C266,27,Female,Manicure,CAD 84.16,E9,63,Debit Card,Pre-booked,2
10/2/2023,C267,57,Male,Pedicure,CAD 133.45,E2,97,Credit Card,Pre-booked,2
1/20/2023,C268,22,Female,Pedicure,CAD 54.49,E5,71,Mobile Payment,Pre-booked,2
12/31/2023,C269,59,Male,Acrylic Nails,CAD 65.57,E1,106,Cash,Walk-in,1
1/6/2023,C270,28,Male,Foot Massage,CAD 93.38,E1,94,Debit Card,Walk-in,5
12/10/2023,C271,60,Female,Manicure,CAD 129.16,E1,103,Credit Card,Pre-booked,1
1/13/2023,C272,56,Male,Foot Massage,CAD 20.31,E10,51,Debit Card,Pre-booked,2
1/28/2023,C273,37,Female,Acrylic Nails,CAD 129.21,E2,86,Cash,Pre-booked,4
3/28/2023,C274,60,Female,Manicure,CAD 129.13,E3,109,Debit Card,Walk-in,2
10/20/2023,C275,58,Male,Pedicure,CAD 89.72,E6,35,Mobile Payment,Pre-booked,4
10/4/2023,C276,20,Male,Manicure,CAD 47.38,E15,77,Cash,Pre-booked,4
1/4/2023,C277,26,Female,Gel Nails,CAD 97.25,E15,60,Cash,Pre-booked,4
9/27/2023,C278,43,Female,Foot Massage,CAD 40.49,E15,111,Mobile Payment,Walk-in,3
9/14/2023,C279,40,Female,Foot Massage,CAD 42.76,E9,69,Debit Card,Walk-in,2
9/24/2023,C280,64,Male,Nail Art,CAD 127.68,E6,92,Mobile Payment,Pre-booked,5
